TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-28,2026-08-28,CM,NSE,STK,34,INE045A01017,ADOR,EQ,,,,,ADOR WELDING LTD,1546.90,1652.00,1546.60,1635.60,1638.00,1541.90,,1635.62,,,130736,211004656.30,12883,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,4953,INE737B01033,ADROITINFO,EQ,,,,,ADROIT INFOTECH LIMITED,10.64,10.77,10.12,10.44,10.25,10.40,,10.44,,,14489,151539.06,148,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,760657,INE0ALI01010,ADVAIT,EQ,,,,,ADVAIT ENRGY TRANSITION L,2122.00,2230.10,2119.00,2200.50,2208.60,2114.70,,2200.76,,,98198,215605113.70,10126,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,759402,INE1B0W01010,ADVANCE,EQ,,,,,ADVANCE AGROLIFE LIMITED,120.92,123.90,115.93,116.95,117.85,120.32,,116.95,,,282536,33368295.21,2566,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,18039,INE837H01020,ADVENZYMES,EQ,,,,,ADVANCED ENZYME TECH LTD,297.95,301.95,296.25,299.80,300.00,297.60,,299.80,,,192573,57480505.15,2941,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,14745,INE199C01026,ADVANIHOTR,EQ,,,,,ADVANI HOT.& RES.(I) LTD,50.70,53.14,49.50,50.01,50.00,49.92,,49.90,,,55736,2824589.47,537,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,759769,INE28GN01010,ADVENTHTL,EQ,,,,,ADVENT HOTELS INTERNATI L,140.90,144.79,139.11,142.80,142.31,140.52,,142.80,,,333397,47584917.09,5125,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,765015,INE178T01024,ADVIKCA,EQ,,,,,ADVIK CAPITAL LTD.,1.21,1.23,1.18,1.19,1.19,1.19,,1.19,,,284503,341149.01,227,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,762227,INE1SJO01012,RAMBHAJO,EQ,,,,,ADVIT JEWELS LIMITED,259.80,264.87,245.31,250.51,248.89,263.57,,250.49,,,2950380,751521439.57,33910,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,40,INE208C01025,AEGISLOG,EQ,,,,,AEGIS LOGISTICS LIMITED,1304.00,1304.70,1283.60,1289.40,1290.00,1298.00,,1289.41,,,263570,341070492.00,13415,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,757336,INE0INX01018,AEGISVOPAK,EQ,,,,,AEGIS VOPAK TERMINALS LTD,267.00,272.45,262.00,269.90,269.15,263.50,,269.90,,,588121,158161021.55,11497,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,757870,INE423A07401,AEL17725,NA,,,,,AEL 0% 2027 SR II,1098.99,1098.99,1098.99,1098.99,1098.99,1096.80,,1098.99,,,12,13187.88,2,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,757876,INE423A07468,AEL170725A,NG,,,,,AEL 0% 2030 SR VIII,1098.00,1098.00,1098.00,1098.00,1098.00,1051.10,,1098.00,,,11,12078.00,2,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,761345,INE423A07518,862AEL31,NM,,,,,AEL 8.62% 2031 SR VI,1011.50,1015.00,1011.50,1015.00,1015.00,1015.00,,1015.00,,,156,157934.00,18,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,761346,INE423A07526,890AEL31,NN,,,,,AEL 8.90% 2031 SR VII,1055.00,1057.99,1055.00,1056.75,1056.75,1054.27,,1053.38,,,92,97211.74,6,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,757869,INE423A07450,895AEL27,N9,,,,,AEL 8.95% 2027 SR I,1009.82,1009.82,1009.82,1009.82,1009.82,1020.00,,1009.82,,,5,5049.10,1,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,757872,INE423A07435,915AEL28,NC,,,,,AEL 9.15% 2028 SR IV,1024.00,1024.00,1024.00,1024.00,1024.00,1025.00,,1018.20,,,10,10240.00,1,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,757875,INE423A07393,930AEL30,NF,,,,,AEL 9.3% 2030 SR VII,1040.10,1040.10,1040.10,1040.10,1040.10,1045.00,,1040.10,,,57,59285.70,1,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,760234,INE947N01017,AEQUS,EQ,,,,,AEQUS LIMITED,246.66,248.00,243.29,245.99,246.00,246.66,,245.99,,,1329838,327333558.51,19541,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,12015,INE065D01027,AEROENTER,EQ,,,,,AEROFLEX ENTERPRISES LTD,144.82,147.43,143.05,146.29,146.10,142.66,,146.29,,,930558,135704731.11,9749,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,18268,INE024001021,AEROFLEX,EQ,,,,,AEROFLEX INDUSTRIES LTD,521.85,547.00,519.80,542.10,541.75,522.10,,542.12,,,2093610,1123336768.45,43794,F1,1,,,,,
